id,popularity,original_title,director,runtime,genres,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj
312221,2.331567,Creed,Ryan Coogler,133,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,1171,7.3,2015,32199985.8320062,126900665.803707
271718,2.31767,Trainwreck,Judd Apatow,125,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,849,6.1,2015,32199985.8320062,129532072.565888
333352,2.29573,Eye in the Sky,Gavin Hood,102,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,265,7.2,2015,11959994.7376023,30220316.9030605
276907,2.28135,Legend,Brian Helgeland,131,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),619,6.7,2015,22999989.8800044,39535137.0845396
284289,2.272044,Beyond the Reach,Jean-Baptiste LÃ©onetti,95,Thriller,Furthur Films,81,5.5,2015,0.0,42223.381421712096
266647,2.234573,Pan,Joe Wright,111,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,586,5.9,2015,137999939.280026,118117202.42843
227973,2.140199,The Peanuts Movie,Steve Martino,88,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,414,6.4,2015,91079959.9248176,226534364.284879
321741,2.121884,Concussion,Peter Landesman,123,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,500,6.9,2015,32199985.8320062,44733666.5571867
296100,2.096273,The Night Before,Jonathan Levine,100,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,363,6.1,2015,22999989.8800044,48204295.1101101
263472,2.080935,Knock Knock,Eli Roth,99,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,473,4.8,2015,2299998.98800044,4796917.44935632
228205,2.070708,The Longest Ride,"George Tillman, Jr.",128,Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,711,7.3,2015,31279986.236806,57972193.012235
159824,2.060162,Hotel Transylvania 2,Genndy Tartakovsky,89,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,919,6.8,2015,73599967.61601421,428888671.768984
333348,2.055572,Love the Coopers,Jessie Nelson,107,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,111,5.3,2015,15639993.118403,22079990.2848042
285783,2.049886,The Walk,Robert Zemeckis,123,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,706,6.8,2015,32199985.8320062,56287361.8735607
290764,2.026651,Tracers,Daniel Benmayor,94,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,326,5.9,2015,10119995.5472019,1714249.04573042
296099,2.000338,Vacation,John Francis Daley|Jonathan M. Goldstein,99,Adventure|Comedy,New Line Cinema|BenderSpink|David Dobkin Productions,846,6.1,2015,28519987.4512055,96033410.7052992
243688,1.984529,Poltergeist,Gil Kenan,93,Horror|Thriller,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,589,5.0,2015,32199985.8320062,87802915.846717
287424,1.980039,Maggie,Henry Hobson,95,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,384,5.1,2015,3679998.38080071,172142.964257095
301875,1.959765,Equals,Drake Doremus,101,Drama|Romance|Science Fiction,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,135,5.6,2015,0.0,1839999.19040035
181283,1.95632,Child 44,Daniel Espinosa,137,Crime|Thriller,Summit Entertainment|Scott Free Productions|Worldview Entertainment,341,5.9,2015,45999979.7600089,3058382.2543117995
328425,1.926739,The Gift,Joel Edgerton,108,Thriller|Mystery,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,631,6.6,2015,4599997.97600089,54260336.8854517
274167,1.904898,Daddy's Home,Sean Anders,96,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,568,5.7,2015,45999979.7600089,221131463.342156
307663,1.872696,Vice,Brian A Miller,96,Thriller|Science Fiction|Action|Adventure,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,181,4.1,2015,9199995.95200178,0.0
309809,1.865007,The Little Prince,Mark Osborne,92,Adventure|Animation|Fantasy,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,423,7.5,2015,58879974.0928114,89765510.50317529
258509,1.841779,Alvin and the Chipmunks: The Road Chip,Walt Becker,92,Adventure|Animation|Comedy|Family,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,278,5.7,2015,0.0,215055014.135793
298382,1.82313,The Dressmaker,Jocelyn Moorhouse,118,Drama,Amazon Studios|Film Art Media|Apollo Media,197,6.9,2015,10975595.1707381,16872792.5759712
272693,1.758618,The DUFF,Ari Sandel,100,Romance|Comedy,Wonderland Sound and Vision|CBS Films|Vast Entertainment,753,6.8,2015,7819996.55920151,40046325.65961671
283445,1.742286,Sinister 2,Ciaran Foy,97,Horror,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,331,5.5,2015,9199995.95200178,48651435.1533685
256961,1.73518,Paul Blart: Mall Cop 2,Andy Fickman,94,Action|Adventure|Comedy|Family,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),422,5.3,2015,27599987.856005296,98989419.0846556
241251,1.6510779999999898,The Boy Next Door,Rob Cohen,91,Thriller,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,810,3.9,2015,3679998.38080071,46150034.4539848
188222,1.532997,Entourage,Doug Ellin,104,Comedy,Warner Bros.|Closest to the Hole Productions,364,6.2,2015,27599987.856005296,45322311.73818279
252838,1.510096,The Wedding Ringer,Jeremy Garelick,101,Comedy,Miramax Films|Screen Gems|LStar Capital,446,6.5,2015,21159990.689604,73415857.2970227
273477,1.499614,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,93,Comedy|Horror,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,288,6.2,2015,13799993.9280026,13671898.7043645
298312,1.495112,The Visit,M. Night Shyamalan,94,Horror|Thriller,Blumhouse Productions|Blinding Edge Pictures,729,5.9,2015,4599997.97600089,90574017.1874324
261023,1.48324599999999,Black Mass,Scott Cooper,122,Crime|Drama,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,848,6.3,2015,48759978.5456094,91793583.3708233
336004,1.449072,Heist,Scott Mann,93,Crime|Action|Thriller,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,233,5.4,2015,8187996.39728158,46125.099704956105
287903,1.448002,Krampus,Michael Dougherty,98,Horror|Comedy|Fantasy,Universal Pictures|Legendary Pictures,342,5.9,2015,13799993.9280026,56624785.5250943
182560,1.443406,Dark Places,Gilles Paquet-Brenner,113,Drama|Mystery|Thriller,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,322,5.7,2015,18399991.9040035,191900.87556361398
192141,1.41239,No Escape,John Erick Dowdle,103,Action|Thriller,Bold Films|Living Films|Brothers Dowdle Productions,519,6.7,2015,4599997.97600089,50065340.2112503
308639,1.40805,Dope,Rick Famuyiwa,103,Crime|Drama|Comedy,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment,448,7.3,2015,643999.716640124,16547831.2389542
261392,1.388251,American Ultra,Nima Nourizadeh,96,Comedy|Action,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company,695,5.9,2015,25759988.665604897,25951426.7813722
304357,1.388032,Woman in Gold,Simon Curtis,120,Drama,BBC Films|Origin Pictures,277,7.3,2015,10119995.5472019,56690166.2163268
266294,1.376605,Sisters,Jason Moore,118,Comedy,Little Stranger,399,5.9,2015,27599987.856005296,96610126.25154442
227719,1.360926,Project Almanac,Dean Israelite,106,Science Fiction|Thriller,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,637,6.3,2015,11039995.1424021,29668368.665917706
86828,1.360827,Absolutely Anything,Terry Jones,85,Comedy|Science Fiction,Premiere Picture|Bill and Ben Productions|GFM films,199,5.8,2015,0.0,4774472.21923222
287948,1.355822,The Transporter Refueled,Camille Delamarre,96,Thriller|Action|Crime,EuropaCorp,407,5.3,2015,22999989.8800044,66819266.9995225
201085,1.345982,Crimson Peak,Guillermo del Toro,119,Mystery|Thriller|Fantasy|Horror|Drama,Legendary Pictures,819,6.4,2015,50599977.7360098,68705406.0096213
264999,1.338481,Magic Mike XXL,Gregory Jacobs,115,Comedy|Drama|Music,Warner Bros.|Iron Horse Entertainment (II),501,6.3,2015,13615994.0089626,112619962.887216
146301,1.338322,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,88,Horror|Thriller,Paramount Pictures|Blumhouse Productions,267,5.0,2015,9199995.95200178,71851557.1453148
223485,1.329702,Slow West,John Maclean,84,Romance|Thriller|Western,The New Zealand Film Commission|Film4|See Saw Films|DMC Films,229,6.6,2015,0.0,210766.38726278895
294016,1.316239,Trumbo,Jay Roach,124,Drama,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,273,7.2,2015,13799993.9280026,7576804.78620589
290751,1.315266,Secret in Their Eyes,Billy Ray,111,Crime|Drama|Mystery,Ingenious Media|Gran Via Productions|IM Global|Route One Films,202,6.2,2015,17939992.1064034,29614535.8096042
309245,1.29314,Mistress America,Noah Baumbach,84,Comedy,RT Features,132,6.4,2015,0.0,2300395.50782597
228165,1.291013,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,93,Family|Animation,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,533,5.7,2015,68079970.0448131,286666383.306791
245706,1.284541,True Story,Rupert Goold,100,Crime|Drama|Mystery,Plan B Entertainment|Regency Enterprises|New Regency Pictures,354,6.0,2015,0.0,4342117.4894683
272878,1.278928,Max,Boaz Yakin,111,Adventure|Drama|Family,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),214,7.0,2015,18399991.9040035,40449856.802063
263109,1.25358,Shaun the Sheep Movie,Mark Burton|Richard Starzack,85,Family|Animation|Comedy|Adventure,Aardman Animations|Studio Canal|Anton Capital Entertainment (ACE),340,6.9,2015,0.0,54923975.83345061
157827,1.251681,Louder Than Bombs,Joachim Trier,109,Drama,Motlys|Arte France CinÃ©ma|Animal Kingdom,43,6.3,2015,10119995.5472019,0.0
321751,1.245224,A Perfect Day,Fernando LeÃ³n de Aranoa,106,Comedy|Drama,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro,102,6.3,2015,0.0,1566237.67085542
266396,1.225325,The Gunman,Pierre Morel,115,Action|Drama|Crime,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),283,5.6,2015,36799983.80800711,9811564.7629115
277685,1.191138,Unfriended,Levan Gabriadze,82,Horror|Thriller,Bazelevs Production|Blumhouse Productions,643,5.6,2015,919999.595200178,57851497.3453411
268920,1.178831,Hot Pursuit,Anne Fletcher,87,Action|Crime|Comedy,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,472,5.5,2015,32199985.8320062,47545763.9998638
280092,1.164724,Insidious: Chapter 3,Leigh Whannell,97,Drama|Horror|Thriller,Sony Pictures,610,6.3,2015,9199995.95200178,95959500.6978197
193687,1.161812,Z for Zachariah,Craig Zobel,97,Drama|Science Fiction|Thriller,Palomar Pictures|Lucky Hat Entertainment|Silver Reel|Material Pictures|Zik Zak Kvikmyndir,181,5.5,2015,0.0,109004.312038102
328589,1.142518,The Lady in the Van,Nicholas Hytner,104,Comedy|Drama,BBC Films|TriStar Productions,135,5.9,2015,5519997.57120106,38076655.2862716
228066,1.138395,Victor Frankenstein,Paul McGuigan,109,Drama|Science Fiction|Thriller,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment,408,5.5,2015,36799983.80800711,31489100.3047958
291270,1.125239,Anomalisa,Duke Johnson|Charlie Kaufman,90,Animation|Comedy|Drama|Romance,Starburns Industries,259,6.7,2015,7359996.76160142,3458541.59824169
294963,1.073349,Bone Tomahawk,S. Craig Zahler,132,Horror|Western|Adventure|Drama,Caliber Media Company|The Fyzz Facility|Realbuilder Productions,220,6.3,2015,1655999.27136032,0.0
241257,1.065888,Regression,Alejandro AmenÃ¡bar,106,Horror|Mystery|Thriller,The Weinstein Company|HimenÃ³ptero|First Generation Films|Mod Producciones|FilmNation Entertainment,310,5.2,2015,0.0,16257405.7667414
353326,1.046518,The Man Who Knew Infinity,Matt Brown,108,Drama,Animus Films|Edward R. Pressman Film|Kreo Films FZ|Xeitgeist Entertainment Group|American Entertainment Investors,104,7.1,2015,0.0,10554653.0359526
346808,1.041922,Momentum,Stephen S. Campanelli,96,Thriller|Action,Thaba Media|Azari Media,100,5.8,2015,18399991.9040035,0.0
250124,1.03839,The Diary of a Teenage Girl,Marielle Heller,102,Drama|Romance,Caviar Films|Cold Iron Pictures|Archer Gray,186,6.8,2015,1839999.19040035,1358841.24210985
308504,1.021441,Last Knights,Kazuaki Kiriya,115,Action|Adventure,Czech Anglo Productions|Luka Productions,237,6.3,2015,0.0,3352102.24507501
314405,1.008474,Il racconto dei racconti,Matteo Garrone,125,Romance|Fantasy|Horror,HanWay Films|Rai Cinema|Le Pacte|Fonds Eurimages du Conseil de l'Europe|Recorded Picture Company (RPC),211,5.7,2015,11039995.1424021,0.0
282984,1.007054,Irrational Man,Woody Allen,95,Mystery|Drama,Sony Pictures|Gravier Productions,319,6.1,2015,10119995.5472019,25199786.192094
157843,0.973316,Queen of the Desert,Werner Herzog,128,Drama|History,Benaroya Pictures|H Films|Raslan Company of America,30,6.0,2015,13799993.9280026,0.0
